,Andy Exley,Bruce Lundeen,Laura Jean,M. Cali,Michael Tupper,Robert Lilligren,writeIns
first_choice,165.00,60.00,231.00,158.00,292.00,1020.00,4.00
Andy Exley,,21.00,49.00,21.00,52.00,115.00,0.00
Bruce Lundeen,14.00,,17.00,10.00,27.00,70.00,0.00
Laura Jean,43.00,5.00,,9.00,42.00,217.00,0.00
M. Cali,22.00,2.00,14.00,,17.00,69.00,0.00
Michael Tupper,25.00,11.00,33.00,20.00,,122.00,1.00
Robert Lilligren,42.00,12.00,66.00,21.00,62.00,,1.00
writeIns,0.00,0.00,0.00,0.00,5.00,2.00,
exhaust,19.00,9.00,52.00,77.00,87.00,425.00,2.00
