,Don Samuels,Kenya McKnight,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,writeIns
first_choice,1020.00,336.00,61.00,652.00,93.00,8.00
Don Samuels,,69.00,6.00,98.00,16.00,1.00
Kenya McKnight,184.00,,14.00,255.00,3.00,0.00
Lennie Chism,50.00,41.00,,62.00,9.00,0.00
Natalie Johnson Lee,226.00,160.00,23.00,,23.00,2.00
Roger Smithrud,48.00,7.00,6.00,25.00,,0.00
writeIns,8.00,1.00,0.00,0.00,5.00,
exhaust,504.00,58.00,12.00,212.00,37.00,5.00
