"condorcet winner: Crafts, Lydia V.","Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
"Crafts, Lydia V.",,76.64,60.15
"Levesque, David J.",23.36,,32.61
"Pieh, Wendy",39.85,67.39,
