"condorcet winner: Curry, Glenn Chip","Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
"Curry, Glenn Chip",,2560.00,2244.00
"Pattavina, Charles F.",1466.00,,1684.00
"Stanicki, Robyn M.",1711.00,2094.00,
