"condorcet winner: Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
"Bennett, Adrienne",,25230.00,20295.00
"Brakey, Eric L.",18055.00,,16552.00
"Crafts, Dale John",28019.00,30832.00,
