"condorcet winner: Bell, Arthur L.","Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
"Abbott, Heather",,1101.00,1309.00
"Bell, Arthur L.",1253.00,,1425.00
"Fromuth, Peter J.",938.00,840.00,
