"condorcet winner: Crafts, Lydia V.","Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
"Crafts, Lydia V.",,1263.00,1049.00
"Levesque, David J.",385.00,,540.00
"Pieh, Wendy",695.00,1116.00,
