"condorcet winner: Curry, Glenn Chip","Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
"Curry, Glenn Chip",,63.07,55.93
"Pattavina, Charles F.",36.93,,44.39
"Stanicki, Robyn M.",44.07,55.61,
