"condorcet winner: Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
"Bennett, Adrienne",,58.08,41.46
"Brakey, Eric L.",41.92,,34.44
"Crafts, Dale John",58.54,65.56,
