Ballots with first choice:,Number of Ballots,"% of votes to Fantini, Alfred B.","% of votes to Nolan, Patricia M.","% of votes to Tauber, Nancy","% of votes to McGovern, Marc C.","% of votes to Schuster, Luc","% of votes to Grassi, Joseph G.",% of votes to exhaust,percent_sum
"Fantini, Alfred B.",2017.0,92.81,0.69,0.79,0.0,0.35,5.16,0.2,99.99999999999999
"Grassi, Joseph G.",1629.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Harding, Richard, Jr.",1562.0,0.0,0.0,17.29,0.0,0.0,35.15,47.57,100.0
"Lemily Wiggins, Gail",1024.0,0.0,15.33,39.55,0.0,15.33,9.67,20.12,100.0
"Malner, Stefan",133.0,0.0,17.29,33.08,0.0,12.78,10.53,26.32,99.99999999999999
"McGovern, Marc C.",2277.0,1.1,5.53,3.51,83.31,3.56,1.58,1.41,99.99999999999997
"Nolan, Patricia M.",1672.0,0.0,94.14,1.32,0.0,2.33,1.26,0.96,99.99999999999999
"Schuster, Luc",1680.0,0.0,0.0,3.1,0.0,94.94,1.19,0.77,99.99999999999999
"Tauber, Nancy",1246.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
writeIns,36.0,0.0,8.33,11.11,0.0,2.78,8.33,69.44,100.0
