Ballots with first choice:,Number of Ballots,"% of votes to Kelley, Craig A.","% of votes to Mallon, Alanna M.","% of votes to Zondervan, Quinton Y.","% of votes to McGovern, Marc C.","% of votes to Toomey, Jr., Timothy J.","% of votes to Carlone, Dennis J.","% of votes to Devereux, Jan","% of votes to Simmons, E. Denise","% of votes to Siddiqui, Sumbul",% of votes to exhaust,percent_sum
"Benjamin, Ronald",242.0,5.79,6.2,2.48,6.2,7.02,10.33,6.61,0.0,0.0,55.37,99.99999999999999
"Burgin, Josh M.",392.0,12.5,8.67,3.32,9.44,8.67,8.67,9.95,0.0,0.0,38.78,100.0
"Carlone, Dennis J.",1176.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"D'Ambrosio, Olivia",216.0,4.63,17.59,16.67,5.56,4.17,14.81,22.22,0.0,0.0,14.35,100.0
"Devereux, Jan",1699.0,0.77,0.29,1.94,0.0,0.18,2.41,94.06,0.0,0.0,0.35,100.0
"Gebru, Samuel",787.0,7.88,15.63,9.4,13.6,5.72,7.24,7.5,0.0,0.0,33.04,99.99999999999997
"Harding, Jr., Richard",836.0,9.93,0.0,0.0,0.0,24.16,12.56,0.0,0.0,0.0,53.35,99.99999999999999
"Kelley, Craig A.",1092.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lenke, Dan",54.0,1.85,33.33,9.26,5.56,7.41,5.56,3.7,0.0,0.0,33.33,100.0
"Levy, Ilan",246.0,8.54,8.13,18.7,6.5,19.51,12.2,7.72,0.0,0.0,18.7,99.99999999999999
"Mallon, Alanna M.",1329.0,1.28,96.16,0.0,0.0,0.3,1.58,0.0,0.0,0.0,0.68,100.0
"McGovern, Marc C.",1880.0,0.9,1.28,0.27,95.37,0.37,0.8,0.21,0.0,0.0,0.8,99.99999999999999
"Moree, Gregg J.",46.0,15.22,4.35,2.17,10.87,8.7,6.52,2.17,0.0,0.0,50.0,100.0
"Musgrave, Adriane B.",580.0,12.07,36.38,6.55,14.14,2.93,6.38,8.79,0.0,0.0,12.76,99.99999999999999
"Okamoto, Nadya T.",550.0,6.36,13.64,16.91,7.09,4.55,11.09,13.82,0.0,0.0,26.55,100.0
"Pillai, Hari I.",107.0,6.54,9.35,17.76,7.48,7.48,10.28,9.35,0.0,0.0,31.78,99.99999999999999
"Santos, Jeff",147.0,4.08,6.8,17.01,8.16,11.56,12.24,6.12,0.0,0.0,34.01,99.99999999999999
"Siddiqui, Sumbul",2532.0,0.87,1.7,3.0,1.15,0.32,1.18,2.21,0.0,88.07,1.5,100.0
"Simmons, E. Denise",2616.0,1.57,0.88,0.57,2.52,2.6,0.84,1.45,86.12,0.88,2.56,100.0
"Sivongxay, Vatsady",740.0,7.43,12.7,29.86,0.0,3.78,15.41,16.35,0.0,0.0,14.46,99.99999999999997
"Sutton, Bryan",45.0,13.33,2.22,8.89,2.22,24.44,6.67,13.33,0.0,0.0,28.89,99.99999999999999
"Tierney, Sean",779.0,13.22,21.18,7.19,0.0,12.07,9.37,9.5,0.0,0.0,27.47,99.99999999999999
"Toner, Paul F.",980.0,28.57,0.0,0.0,0.0,0.0,14.39,0.0,0.0,0.0,57.04,100.0
"Toomey, Jr., Timothy J.",1619.0,0.86,0.0,0.0,0.0,97.59,0.86,0.0,0.0,0.0,0.68,100.0
"Volmar, Gwen Thomas",248.0,4.44,20.56,14.92,9.68,5.65,11.29,10.48,0.0,0.0,22.98,100.0
"Zondervan, Quinton Y.",1565.0,1.09,0.83,92.59,0.0,0.32,4.92,0.0,0.0,0.0,0.26,99.99999999999999
writeIns,21.0,14.29,0.0,4.76,19.05,4.76,19.05,0.0,0.0,0.0,38.1,100.0
