contest_name,place,state,year,date,office,rcv_type,number_of_winners,tabulation_num,unique_id,winner,number_of_candidates,number_of_rounds,final_round_winner_vote,final_round_winner_percent,final_round_active_votes,first_round_winner_vote,first_round_winner_percent,first_round_active_votes,first_round_winner_place,final_round_winner_votes_over_first_round_valid,winners_consensus_value,condorcet,come_from_behind,effective_ballot_length,first_round_overvote,ranked_single,ranked_multiple,total_fully_ranked,ranked_winner,includes_duplicate_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_ballots_with_overvote,total_undervote,total_exhausted,total_exhausted_by_overvote,total_exhausted_by_skipped_rankings,total_exhausted_by_abstention,total_exhausted_by_rank_limit
,,,,,,,Number of winners a contest had.,Tabulation number,,The winner(s) of the election.,"The number of candidates on the ballot, not including write-ins.",Number of rounds in the tabulation.,"The percent of votes for the winner in the final round. If more than one winner, return the final round count for the first winner elected. (weighted)","The percent of votes for the winner in the final round. If more than one winner, return the final round count for the first winner elected. (weighted)",The number of votes that were awarded to any candidate in the final round. (weighted),"The number of votes for the winner in the first round. In the case of multi-winner elections, this result will only pertain to the first candidate elected. (weighted)","The percent of votes for the winner in the first round. In the case of multi-winner elections, this result will only pertain to the first candidate elected. (weighted)",The number of votes that were awarded to any candidate in the first round. (weighted),"In terms of first round votes, what place the eventual winner came in. In the case of multi-winner elections, this result will only pertain to the first candidate elected.","The number of votes the winner receives in the final round divided by the number of valid votes in the first round. Reported as percentage. If more than one winner, return the final round count for the first winner elected. (weighted)",The percentage of valid first round votes that rank any winner in the top 3.,"Is the winner the condorcet winner? The condorcet winner is the candidate that would win a 1-on-1 election versus any other candidate in the election. Note that this calculation depends on jurisdiction dependant rule variations. In the case of multi-winner elections, this result will only pertain to the first candidate elected.","""yes"" if rcv winner is not first round leader, else ""no"". In the case of multi-winner elections, this result will only pertain to the first candidate elected.","A list of validly ranked choices, and how many ballots had that number of valid choices. (weighted)","The number of ballots with an overvote before any valid ranking. (weighted) Note that this is not the same as ""exhausted by overvote"". This is because some jurisdictions (Maine) discard any ballot beginning with two skipped rankings, and call this ballot as exhausted by skipped rankings, even if the skipped rankings are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.",The number of voters that validly used only a single ranking. (weighted),The number of voters that validly use more than one ranking. (weighted),"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates. (weighted)",Number of ballots with a non-overvote mark for the winner,The number of ballots that rank the same candidate more than once. (weighted),The number of ballots that have an skipped ranking followed by any other mark valid ranking. (weighted),"Number of ballots that either had a multiple ranking, overvote, or a skipped ranking. This includes ballots even where the irregularity was not the cause of exhaustion. (weighted)",This includes ballots with no marks. (weighted),Number of ballots with at least one overvote. Not necessarily cause of exhaustion. (weighted),Ballots completely made up of skipped rankings (no marks). (weighted),Number of ballots (excluding undervotes) that do not rank a finalist or were exhausted from overvotes/skipped ranks rules. (weighted),Number of ballots exhausted due to overvote. Only applicable to certain contests. (weighted),Number of ballots exhausted due to repeated skipped rankings. Only applicable to certain contests. (weighted),Number of ballots exhausted after all marked rankings used and ballot is not fully ranked. (weighted),Number of ballots exhausted after all marked rankings used and ballot is fully ranked. Fully ranked here means the last rank was used OR all candidates were ranked(weighted)
Poll - Maine Congressional District 2 GOP Primary,Maine,ME,2020,7/8/2020,Candidate House of Representatives,rcv_single_winner,1,1,Maine_07082020_CandidateHouseofRepresentatives_tab1,Dale Crafts,3,2,270.58936379699986,59.026419485610006,458.420765066,225.54472530099986,46.16425081660444,488.570097665,1,55.38393878180733,69.66569131363023,yes,no,0: 115.08703790300005; 1: 135.19181640300008; 2: 353.37828126200066,0.0,135.19181640300008,353.37828126200066,353.37828126200066,355,0.0,0.0,0.0,603.6571355680003,0.0,115.08703790300005,30.149332599,0.0,0.0,30.149332599,0.0
Poll - Maine 2024 GOP Presidential Primary,Maine,ME,2020,7/8/2020,Candidate Preisdent of the United States,rcv_single_winner,1,1,Maine_07082020_CandidatePreisdentoftheUnitedStates_tab1,Mike Pence,6,4,224.95412018800002,51.07464449242294,440.4418717420002,180.18782818899987,37.92131280351993,475.16242151899996,1,47.342573823255286,69.9480708675339,yes,no,0: 128.494714049; 1: 81.32453790900004; 2: 74.30417679900003; 3: 319.5337068110002,0.0,81.32453790900004,393.8378836100007,319.5337068110002,342,0.0,0.0,0.0,603.6571355680003,0.0,128.494714049,34.720549777000016,0.0,0.0,31.683388816000004,3.0371609609999997
