,Bob Sullentrop,Charlie Casserly,Devin Hogan,Jonathan Honerbrink,Latrisha Vetaw,Londel French,Meg Forney,Mike Derus,Russ Henry,Scott Vreeland,writeIns
first_choice,1.97,4.45,7.41,3.10,21.96,14.71,22.54,12.66,10.74,0.00,0.46
Bob Sullentrop,,5.67,2.85,15.28,0.70,0.77,1.65,2.68,1.39,0.00,1.28
Charlie Casserly,9.28,,2.37,5.85,1.30,1.23,4.35,7.04,2.30,66.67,0.51
Devin Hogan,4.58,5.64,,4.47,9.17,20.09,4.72,5.41,16.61,0.00,1.03
Jonathan Honerbrink,19.77,4.98,2.51,,1.34,1.43,2.38,4.24,2.04,0.00,0.26
Latrisha Vetaw,5.85,5.91,20.77,8.33,,23.29,26.93,13.13,17.73,0.00,2.05
Londel French,2.59,4.98,22.99,4.28,22.41,,6.81,5.33,25.36,0.00,0.51
Meg Forney,8.92,18.02,9.00,11.77,30.40,9.59,,27.45,11.02,33.33,3.59
Mike Derus,14.77,20.34,5.88,13.64,7.76,4.88,18.90,,8.12,0.00,1.79
Russ Henry,8.62,5.70,17.18,8.87,8.87,20.60,5.47,7.01,,0.00,1.79
Scott Vreeland,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.00
writeIns,0.24,0.37,0.13,0.57,0.17,0.18,0.16,0.21,0.24,0.00,
exhaust,25.38,28.38,16.33,26.94,17.88,17.95,28.64,27.50,15.18,0.00,87.18
