Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,57.0,100.0,14.04,17.54,3.51,33.33,54.39,3.51,24.56,7.02,15.79,3.51
Andrew Yang,153.0,9.15,100.0,47.06,0.0,25.49,34.64,5.23,14.38,3.92,19.61,5.88
Bernie Sanders,6710.0,2.16,8.66,100.0,0.12,32.16,42.67,1.8,4.01,1.54,19.51,6.83
Deval Patrick,7.0,14.29,28.57,14.29,100.0,14.29,42.86,28.57,14.29,0.0,14.29,14.29
Elizabeth Warren,930.0,13.66,7.31,65.16,0.22,100.0,72.69,3.87,10.0,1.29,3.55,3.55
Joseph R. Biden,10997.0,7.75,2.96,30.47,0.35,18.11,100.0,6.38,8.46,1.07,5.79,3.58
Michael R.,192.0,9.9,8.33,28.65,0.52,12.5,56.25,100.0,11.46,5.21,16.67,5.73
Pete Buttigieg,154.0,21.43,15.58,26.62,1.95,23.38,63.64,6.49,100.0,2.6,6.49,2.6
Tom Steyer,19.0,10.53,10.53,36.84,0.0,26.32,52.63,21.05,0.0,100.0,5.26,5.26
Tulsi Gabbard,924.0,4.22,10.39,39.61,1.08,10.71,31.71,7.68,3.35,2.38,100.0,9.31
Uncommitted,184.0,0.0,0.54,9.24,0.0,2.72,11.41,1.63,0.54,1.09,2.17,100.0
