Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,90,90,11,16,3,29,53,4,22,5,12,2
Andrew Yang,337,22,337,154,5,95,124,20,41,19,57,18
Bernie Sanders,10754,201,1106,10754,14,3665,4617,232,410,145,1793,833
Deval Patrick,11,1,3,2,11,2,4,2,1,0,3,1
Elizabeth Warren,1660,193,134,1099,4,1660,1190,68,153,25,42,55
Joseph R. Biden,19577,1438,663,5631,47,3510,19577,1544,1564,204,937,727
Michael R.,448,30,35,118,1,81,277,448,48,22,50,17
Pete Buttigieg,304,58,42,81,4,75,202,25,304,8,19,10
Tom Steyer,32,2,5,9,0,9,16,10,0,32,2,1
Tulsi Gabbard,1367,58,147,540,11,135,436,130,49,28,1367,128
Uncommitted,289,0,5,26,0,7,37,8,1,3,7,289
