Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,57,57,8,10,2,19,31,2,14,4,9,2
Andrew Yang,153,14,153,72,0,39,53,8,22,6,30,9
Bernie Sanders,6710,145,581,6710,8,2158,2863,121,269,103,1309,458
Deval Patrick,7,1,2,1,7,1,3,2,1,0,1,1
Elizabeth Warren,930,127,68,606,2,930,676,36,93,12,33,33
Joseph R. Biden,10997,852,326,3351,39,1992,10997,702,930,118,637,394
Michael R.,192,19,16,55,1,24,108,192,22,10,32,11
Pete Buttigieg,154,33,24,41,3,36,98,10,154,4,10,4
Tom Steyer,19,2,2,7,0,5,10,4,0,19,1,1
Tulsi Gabbard,924,39,96,366,10,99,293,71,31,22,924,86
Uncommitted,184,0,1,17,0,5,21,3,1,2,4,184
