contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Payson City Council 2019,Payson,UT,2019,11/5/2019,City Council,TRUE,FALSE,,,,utah,,sequential_rcv,3,Ballot_Images/Payson/2019/Payson.csv
Vineyard City Council 2019,Vineyard,UT,2019,11/5/2019,City Council,TRUE,FALSE,,,,utah,,sequential_rcv,2,Ballot_Images/Vineyard/2019/Vineyard.csv
