# Final piles of ballots, sorted by candidate.
# Created Wednesday, November 5, 2003 5:51 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Yes"
.CANDIDATE C02, "No"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
000603-00-1249, 1) C02
000603-00-1255, 1) C02
000603-00-1261, 1) C02
000603-00-1264, 1) C02
000603-00-1265, 1) C02
000603-00-1268, 1) C02
000603-00-1279, 1) C02
000603-00-1282, 1) C02
000603-00-1285, 1) C02
000603-00-1291, 1) C02
000603-00-1294, 1) C02
000603-00-1297, 1) C02
000603-00-1301, 1) C02
000603-00-1306, 1) C02
000603-00-1307, 1) C02
000603-00-1310, 1) C02
000603-00-1317, 1) C02
000603-00-1323, 1) C02
000603-00-1324, 1) C02
000603-00-1328, 1) C02
000603-00-1332, 1) C02
000603-00-1337, 1) C02
000603-00-1343, 1) C02
000603-00-1346, 1) C02
000603-00-1348, 1) C02
000603-00-1352, 1) C02
000603-00-1359, 1) C02
000603-00-1362, 1) C02
000603-00-1368, 1) C02
000603-00-1371, 1) C02
000603-00-1373, 1) C02
000603-00-1380, 1) C02
000603-00-1383, 1) C02
000603-00-1385, 1) C02
000603-00-1388, 1) C02
000603-00-1395, 1) C02
000603-00-1400, 1) C02
000603-00-1416, 1) C02
000603-00-1422, 1) C02
000603-00-1427, 1) C02
000603-00-1429, 1) C02
000603-00-1437, 1) C02
000603-00-1438, 1) C02
000603-00-1446, 1) C02
000603-00-1447, 1) C02
000603-00-1454, 1) C02
000603-00-1458, 1) C02
000603-00-1461, 1) C02
000603-00-1464, 1) C02
000603-00-1467, 1) C02
000603-00-1470, 1) C02
000603-00-1471, 1) C02
000603-00-1475, 1) C02
000603-00-1481, 1) C02
000603-00-1486, 1) C02
000603-00-1489, 1) C02
000603-00-1501, 1) C02
000603-00-1505, 1) C02
000603-00-1508, 1) C02
000603-00-1517, 1) C02
000603-00-1527, 1) C02
000603-00-1529, 1) C02
000603-00-1531, 1) C02
000603-00-1534, 1) C02
000603-00-1541, 1) C02
000603-00-1543, 1) C02
000603-00-1547, 1) C02
000603-00-1552, 1) C02
000603-00-1558, 1) C02
000603-00-1563, 1) C02
000603-00-1564, 1) C02
000603-00-1567, 1) C02
000603-00-1571, 1) C02
000603-00-1573, 1) C02
000603-00-1576, 1) C02
000603-00-1581, 1) C02
000603-00-1585, 1) C02
000603-00-1588, 1) C02
000603-00-1591, 1) C02
000603-00-1601, 1) C02
000603-00-1611, 1) C02
000603-00-1618, 1) C02
000603-00-1623, 1) C02
000603-00-1624, 1) C02
000603-00-1629, 1) C02
000603-00-1630, 1) C02
000603-00-1635, 1) C02
000603-00-1636, 1) C02
000603-00-1644, 1) C02
000603-00-1647, 1) C02
000603-00-1649, 1) C02
000603-00-1651, 1) C02
000603-00-1656, 1) C02
000603-00-1659, 1) C02
000603-00-1660, 1) C02
000603-00-1663, 1) C02
000603-00-1666, 1) C02
000603-00-1670, 1) C02
000603-00-1673, 1) C02
000603-00-1675, 1) C02
000603-00-1679, 1) C02
000603-00-1699, 1) C02
000603-00-1704, 1) C02
000603-00-1709, 1) C02
000603-00-1712, 1) C02
000603-00-1719, 1) C02
000603-00-1724, 1) C02
000603-00-1727, 1) C02
000603-00-1736, 1) C02
000603-00-1741, 1) C02
000603-00-1743, 1) C02
000603-00-1746, 1) C02
000603-00-1753, 1) C02
000603-00-1754, 1) C02
000603-00-1759, 1) C02
000603-00-1762, 1) C02
000603-00-1765, 1) C02
000603-00-1771, 1) C02
000603-00-1783, 1) C02
000603-00-1784, 1) C02
000603-00-1787, 1) C02
000603-00-1796, 1) C02
000603-00-1803, 1) C02
000603-00-1809, 1) C02
000603-00-1813, 1) C02
000603-00-1821, 1) C02
000603-00-1826, 1) C02
000603-00-1830, 1) C02
000603-00-1834, 1) C02
000603-00-1839, 1) C02
