Ballots with first choice:,Number of Ballots,BRIAN V. HULET ranked in top 3,CARY KENNETH STOCKWELL ranked in top 3,DOUG WELTON ranked in top 3,LINDA CARTER ranked in top 3,SCOTT PINKHAM ranked in top 3
BRIAN V. HULET,615,615,168,424,357,135
CARY KENNETH STOCKWELL,210,86,210,128,90,81
DOUG WELTON,1037,721,382,1037,555,254
LINDA CARTER,674,416,231,507,674,111
SCOTT PINKHAM,139,60,56,77,53,139
