Ballots with first choice:,Number of Ballots,ANTHONY JENKINS ranked in top 3,CRISTY WELSH ranked in top 3,DAVID LAURET ranked in top 3,G. TYCE FLAKE ranked in top 3,HECTOR RAFAEL HERNANDEZ ranked in top 3,KEITH KUDER ranked in top 3,TAY GUDMUNDSON ranked in top 3
ANTHONY JENKINS,93.0,100.0,75.27,12.9,53.76,17.2,9.68,18.28
CRISTY WELSH,346.0,38.15,100.0,31.79,61.27,14.45,9.83,23.41
DAVID LAURET,154.0,20.78,55.19,100.0,60.39,12.99,29.22,7.79
G. TYCE FLAKE,273.0,26.74,62.64,53.85,100.0,9.89,17.95,9.52
HECTOR RAFAEL HERNANDEZ,88.0,28.41,46.59,28.41,32.95,100.0,34.09,17.05
KEITH KUDER,100.0,18.0,42.0,35.0,38.0,16.0,100.0,12.0
TAY GUDMUNDSON,35.0,40.0,68.57,8.57,34.29,22.86,11.43,100.0
