contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Alaska Dem Primary 2020,Alaska,AK,2020,2020,PRESIDENT OF THE UNITED STATES,TRUE,,,,,,,common_csv,,rcv_multiWinner_thresh15,,..\dem_primary2020\AK_parsed_cvrs
Wyoming Dem Primary 2020,Wyoming,WY,2020,2020,PRESIDENT OF THE UNITED STATES,TRUE,,,,,,,common_csv,,rcv_multiWinner_thresh15,,..\dem_primary2020\WY_parsed_cvrs
Kansas Dem Primary 2020,Kansas,KS,2020,2020,PRESIDENT OF THE UNITED STATES,TRUE,,,,,,,common_csv,,rcv_multiWinner_thresh15,,..\dem_primary2020\KN_parsed_cvrs
Hawaii Dem Presidential Primary  2020 CD1,Hawaii,HI,2020,5/23/2020,President of the United State CD1,FALSE,FALSE,,,,,,unisyn,,rcv_multiWinner_thresh15,,../dem_primary2020/Hawaii_cvr/CD1
Hawaii Dem Presidential Primary  2020 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD2,FALSE,FALSE,,,,,,unisyn,,rcv_multiWinner_thresh15,,../dem_primary2020/Hawaii_cvr/CD2
Hawaii Dem Presidential Primary  2020 CD1 CD2,Hawaii,HI,2020,5/23/2020,President of the United State CD1 CD2,FALSE,FALSE,,,,,,unisyn,,rcv_multiWinner_thresh15,,../dem_primary2020/Hawaii_cvr/CD1_CD2
