Ballots with first choice:,Number of Ballots,% of votes to Elizabeth Warren,% of votes to Kamala Harris,% of votes to exhaust,percent_sum
Elizabeth Warren,287.99789603799974,100.0,0.0,0.0,100.0
Kamala Harris,342.9053723069997,0.0,100.0,0.0,100.0
Karen Bass,35.336635429000005,7.81,42.02,50.17,100.0
Stacey Abrams,95.81876409000003,37.8,38.62,23.58,99.99999999999997
Susan Rice,179.3371231790001,19.53,48.22,32.25,99.99999999999994
Tammy Duckworth,93.25907032500002,45.57,17.49,36.95,99.99999999999999
Val Demings,42.114868639,30.39,19.43,50.18,100.0
