,Rank 1,Rank 2,Rank 3,Did Not Rank
Donald Trump Jr.,67.80,124.95,165.45,438.21
Ivanka Trump,43.97,89.45,123.00,480.66
Marco Rubio,33.93,101.14,158.47,445.18
Mike Pence,180.19,262.17,332.37,271.29
Nikki Haley,75.34,124.36,163.44,440.22
Ted Cruz,73.92,166.93,245.81,357.85
