,Rank 1,Rank 2,Rank 3,Did Not Rank
Donald Trump Jr.,11.23,20.70,27.41,72.59
Ivanka Trump,7.28,14.82,20.38,79.62
Marco Rubio,5.62,16.75,26.25,73.75
Mike Pence,29.85,43.43,55.06,44.94
Nikki Haley,12.48,20.60,27.07,72.93
Ted Cruz,12.25,27.65,40.72,59.28
