,Rank 1,Rank 2,Rank 3,Did Not Rank
"Bennett, Adrienne",13468.00,22984.00,30218.00,16587.00
"Brakey, Eric L.",9542.00,18282.00,28345.00,18460.00
"Crafts, Dale John",19337.00,28692.00,34500.00,12305.00
