,Rank 1,Rank 2,Rank 3,Did Not Rank
"Curry, Glenn Chip",40.08,64.98,82.40,17.60
"Pattavina, Charles F.",22.99,46.97,76.15,23.85
"Stanicki, Robyn M.",29.16,56.05,76.27,23.73
