,Rank 1,Rank 2,Rank 3,Did Not Rank
"Bennett, Adrienne",28.77,49.11,64.56,35.44
"Brakey, Eric L.",20.39,39.06,60.56,39.44
"Crafts, Dale John",41.31,61.30,73.71,26.29
