,Rank 1,Rank 2,Rank 3,Did Not Rank
"Curry, Glenn Chip",1858.00,2946.00,3723.00,751.00
"Pattavina, Charles F.",1030.00,2120.00,3449.00,1025.00
"Stanicki, Robyn M.",1280.00,2525.00,3431.00,1043.00
