Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,23675,2.0633157338965153,2
DEAN PRESTON,11239,2.0624610730492035,2
NOMVULA O'MEARA,278,2.7482014388489207,3.0
RYAN LAM,950,2.623157894736842,3.0
VALLIE BROWN,11208,1.9997323340471092,1.0
writeIns,0,0,0
