,Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joe Biden,Michael Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard
first_choice,4.36,29.67,8.87,22.09,22.00,9.38,2.09,1.55
Amy Klobuchar,,2.54,12.39,6.40,3.45,7.67,0.00,17.04
Bernie Sanders,6.83,,45.26,37.51,25.23,26.40,14.10,28.92
Elizabeth Warren,18.38,32.79,,11.30,6.17,17.66,9.24,9.16
Joe Biden,16.40,26.88,14.19,,43.63,26.42,23.86,22.15
Michael Bloomberg,15.63,15.55,4.21,22.79,,14.59,36.68,0.00
Pete Buttigieg,24.80,10.46,13.95,10.14,15.86,,11.25,5.20
Tom Steyer,4.32,4.07,0.00,5.33,2.70,1.15,,5.32
Tulsi Gabbard,9.36,2.26,1.76,1.25,1.49,3.28,0.00,
exhaust,4.27,5.46,8.23,5.29,1.46,2.83,4.87,12.21
