,ANTOINETTE M REYES,JOHANA BENCOMO,ROBERT J PALACIOS
first_choice,336.00,763.00,458.00
ANTOINETTE M REYES,,341.00,130.00
JOHANA BENCOMO,159.00,,150.00
ROBERT J PALACIOS,89.00,230.00,
exhaust,88.00,192.00,178.00
