,ALEXANDER PAIGE FRESQUEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE
first_choice,0.76,3.52,8.20,10.25,4.75,3.05,1.50,36.98,11.51,19.49
ALEXANDER PAIGE FRESQUEZ,,1.34,2.53,4.00,1.52,2.41,5.65,2.50,0.75,1.09
BEV COURTNEY,2.97,,6.55,2.64,9.81,9.89,3.95,2.33,53.90,7.22
EUGENIA (GINA) MONTOYA ORTEGA,10.89,5.79,,7.68,14.55,14.97,10.17,11.97,3.69,11.66
GREGORY Z SMITH,25.74,6.01,8.45,,7.78,9.63,15.82,31.86,4.04,16.75
ISABELLA SOLIS,3.96,5.79,16.16,6.24,,15.24,18.08,10.39,7.25,9.53
JESUSITA DOLORES LUCERO,9.90,7.57,11.83,5.20,9.31,,3.39,5.02,6.77,8.21
JORGE SANCHEZ,9.90,2.67,6.65,2.72,4.57,2.67,,3.38,1.85,2.17
KEN MIYAGISHIMA,23.76,6.01,19.32,41.12,12.52,12.30,18.08,,5.06,26.95
MIKE A TELLEZ,5.94,50.33,9.19,6.56,21.32,12.30,16.38,6.01,,16.42
WILLIAM BILL MATTIACE,6.93,14.48,19.32,23.84,18.61,20.59,8.47,26.54,16.69,
