,ANTOINETTE M REYES,JOHANA BENCOMO,ROBERT J PALACIOS
first_choice,21.58,49.00,29.42
ANTOINETTE M REYES,,59.72,46.43
JOHANA BENCOMO,64.11,,53.57
ROBERT J PALACIOS,35.89,40.28,
