Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,33.0,100.0,9.09,18.18,3.03,30.3,66.67,6.06,24.24,3.03,9.09,0.0
Andrew Yang,184.0,4.35,100.0,44.57,2.72,30.43,38.59,6.52,10.33,7.07,14.67,4.89
Bernie Sanders,4044.0,1.38,12.98,100.0,0.15,37.27,43.37,2.74,3.49,1.04,11.97,9.27
Deval Patrick,4.0,0.0,25.0,25.0,100.0,25.0,25.0,0.0,0.0,0.0,50.0,0.0
Elizabeth Warren,730.0,9.04,9.04,67.53,0.27,100.0,70.41,4.38,8.22,1.78,1.23,3.01
Joseph R. Biden,8580.0,6.83,3.93,26.57,0.09,17.69,100.0,9.81,7.39,1.0,3.5,3.88
Michael R.,256.0,4.3,7.42,24.61,0.0,22.27,66.02,100.0,10.16,4.69,7.03,2.34
Pete Buttigieg,150.0,16.67,12.0,26.67,0.67,26.0,69.33,10.0,100.0,2.67,6.0,4.0
Tom Steyer,13.0,0.0,23.08,15.38,0.0,30.77,46.15,46.15,0.0,100.0,7.69,0.0
Tulsi Gabbard,443.0,4.29,11.51,39.28,0.23,8.13,32.28,13.32,4.06,1.35,100.0,9.48
Uncommitted,105.0,0.0,3.81,8.57,0.0,1.9,15.24,4.76,0.0,0.95,2.86,100.0
