raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,KEN MIYAGISHIMA,9.0,,5172.0,5196.0,5232.0,5284.0,5314.0,5420.0,5732.0,6466.0,6814.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,WILLIAM BILL MATTIACE,,9.0,2725.0,2732.0,2747.0,2829.0,2911.0,3066.0,3362.0,3834.0,5557.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,MIKE A TELLEZ,,8.0,1610.0,1616.0,1647.0,1697.0,1973.0,2170.0,2445.0,2722.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,GREGORY Z SMITH,,7.0,1433.0,1459.0,1492.0,1535.0,1566.0,1653.0,1853.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,EUGENIA (GINA) MONTOYA ORTEGA,,6.0,1147.0,1158.0,1178.0,1240.0,1274.0,1427.0,0.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,ISABELLA SOLIS,,5.0,664.0,668.0,704.0,766.0,805.0,0.0,0.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,BEV COURTNEY,,4.0,492.0,495.0,502.0,539.0,0.0,0.0,0.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,JESUSITA DOLORES LUCERO,,3.0,426.0,436.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,JORGE SANCHEZ,,2.0,210.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LasCruces_11052019_MAYORCITYOFLASCRUCES_tab1,ALEXANDER PAIGE FRESQUEZ,,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR_tab1,TESSA ABEYTA STUVE,3.0,,970.0,1002.0,1151.0,,,,,,
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR_tab1,PHILIP A VANVEEN,,3.0,783.0,820.0,937.0,,,,,,
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR_tab1,"JACK L VALENCIA, JR",,2.0,373.0,395.0,0.0,,,,,,
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR_tab1,JASON D ESTRADA,,1.0,122.0,0.0,0.0,,,,,,
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR_tab1,JOHANA BENCOMO,2.0,,763.0,922.0,,,,,,,
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR_tab1,ROBERT J PALACIOS,,2.0,458.0,547.0,,,,,,,
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR_tab1,ANTOINETTE M REYES,,1.0,336.0,0.0,,,,,,,
