raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote
Minneapolis_11072017_ParkBoardAtLarge_tab1,Meg Forney,8.0,,19010.0,19011.0,19025.0,19174.0,19578.0,20366.0,21066.0,22506.0,21087.0,21087.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Latrisha Vetaw,8.0,,18526.0,18526.0,18534.0,18631.0,18888.0,19142.0,20529.0,22827.0,21087.0,21087.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Londel French,10.0,,12405.0,12405.0,12407.0,12450.0,12589.0,12815.0,14308.0,17947.0,18772.626048447797,20134.037841050245
Minneapolis_11072017_ParkBoardAtLarge_tab1,Mike Derus,,9.0,10679.0,10679.0,10686.0,10931.0,11404.0,12335.0,12849.0,13970.0,14588.532643277427,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Russ Henry,,7.0,9056.0,9056.0,9063.0,9209.0,9529.0,9815.0,11014.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Devin Hogan,,6.0,6246.0,6246.0,6250.0,6327.0,6471.0,6735.0,0.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Charlie Casserly,,5.0,3756.0,3758.0,3760.0,3914.0,4156.0,0.0,0.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Jonathan Honerbrink,,4.0,2617.0,2617.0,2618.0,2947.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Bob Sullentrop,,3.0,1659.0,1659.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,writeIns,,2.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis_11072017_ParkBoardAtLarge_tab1,Scott Vreeland,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
