"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","7546","485","305","23","8","4","2","2","0","17","0","124","240","245","17","1","6","0","27","1","8","3","1","0","1","0","0","0","0","0","7","0","3","0","4","0","1","0","0","0","1","0","2","0","1","0","0","4","27","31","25","24","28","0","5","35","44","26","26","30","0","0","2","4","1","1","1","0","0","2","5","1","4","2","0","0","24","20","18","5","7","0","3","18","15","6","7","1","0","1","3","3","6","3","2","0","0","4","1","6","2","2","54","35","25","38","19","24","8","11","91","3","5","1","3","2","4","0","2","3","26","21","15","20","7","7","3","8","17","6","4","2","7","1","6","2","1","4"
"g14","V","7547","468","304","12","4","3","6","3","0","14","0","122","259","209","13","1","6","3","34","0","12","2","1","0","0","1","2","0","0","0","3","0","3","1","5","0","3","0","1","0","0","0","3","2","0","0","0","8","36","37","31","30","17","0","6","45","35","22","19","18","0","1","0","1","2","2","1","0","1","0","0","0","1","3","0","5","28","18","15","9","4","0","5","16","11","6","3","2","0","0","4","5","1","4","0","0","3","2","6","4","0","1","52","59","31","23","21","31","8","9","70","4","0","1","0","1","2","0","2","2","31","25","12","11","7","13","2","9","12","5","8","2","3","0","3","1","7","1"
"g14","V","7548","504","330","26","2","0","3","1","0","11","0","131","271","233","13","0","6","1","33","3","4","0","0","0","1","0","0","0","1","0","7","1","3","0","0","0","4","1","1","1","1","0","3","0","0","0","0","7","41","31","28","20","37","0","5","44","30","27","26","34","0","0","2","4","5","2","5","0","0","0","4","0","2","2","0","6","26","17","16","9","7","0","3","16","16","4","5","6","0","1","2","2","2","0","1","0","1","3","2","2","1","0","53","56","30","39","12","20","6","17","97","4","4","1","3","1","2","3","1","7","28","29","11","18","3","12","6","4","20","4","2","4","1","1","1","1","1","2"
"g14","V","7549","388","241","17","3","1","3","3","0","16","0","104","201","187","12","2","11","1","20","2","6","1","0","0","1","1","1","0","0","1","24","0","21","0","1","0","1","0","7","0","2","0","2","0","0","0","0","6","30","17","18","23","19","0","4","42","23","22","15","22","0","0","4","1","3","1","3","0","0","1","1","2","0","1","0","3","21","14","8","6","9","0","4","14","10","4","8","3","0","0","7","2","2","2","2","0","0","4","4","0","2","1","37","42","10","26","9","27","12","12","66","2","3","0","2","1","3","0","2","4","20","19","6","15","5","12","3","4","20","7","2","2","5","2","2","2","0","4"
"g14","V","7551","378","243","20","3","3","3","3","0","11","1","91","191","187","8","1","6","0","25","3","5","2","2","0","0","0","1","0","0","0","3","1","1","1","2","0","1","0","0","0","0","0","2","0","1","1","0","3","27","23","18","23","20","0","4","27","33","10","25","30","0","0","4","1","6","1","2","0","0","1","1","2","0","2","0","1","17","17","7","4","3","0","1","16","11","6","2","6","0","1","5","4","2","1","1","0","2","1","2","0","2","3","34","31","23","26","10","18","12","5","84","4","2","0","0","1","3","3","3","4","21","17","13","12","3","10","1","3","11","6","4","0","2","3","1","1","1","6"
"g14","V","7552","401","266","14","5","0","3","2","0","11","0","100","199","202","13","1","3","1","38","0","4","4","1","0","0","0","0","0","1","0","8","1","2","0","0","1","0","1","0","0","0","0","3","0","0","0","0","4","25","25","28","17","28","0","5","29","31","19","21","34","0","1","1","0","1","1","2","0","0","0","0","3","2","3","0","1","13","17","13","6","7","0","0","17","13","10","0","3","0","0","0","4","3","0","2","0","1","5","2","3","1","0","36","41","23","28","10","23","13","14","78","2","2","0","1","0","2","1","0","6","17","15","13","14","7","10","6","7","11","5","4","1","4","2","0","0","1","4"
"g14","V","7553","84","54","8","1","0","2","0","0","1","0","18","44","40","4","0","0","0","9","0","2","0","1","0","0","0","1","0","0","0","4","1","3","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","7","4","5","2","7","0","1","5","5","4","6","8","0","0","0","0","1","2","0","0","0","0","0","1","1","3","0","1","3","3","3","0","3","0","0","1","1","1","1","1","0","0","3","0","0","0","0","0","1","0","0","0","0","0","5","12","5","5","1","3","2","5","16","0","0","1","0","1","1","0","0","5","2","3","2","3","1","2","3","0","2","4","0","0","0","0","0","0","0","0"
"g14","V","7554","460","323","28","7","0","0","1","0","9","0","92","228","232","7","1","4","1","37","0","7","1","0","0","1","0","2","0","1","0","13","0","4","0","4","0","1","1","0","0","0","0","0","0","2","0","0","3","28","26","25","28","37","0","2","30","30","27","38","49","0","1","2","2","4","3","2","0","0","0","2","1","7","4","0","4","13","16","10","8","6","0","2","11","11","2","2","7","0","0","4","0","3","0","3","0","0","1","0","2","1","3","37","47","23","35","19","21","12","11","118","4","1","1","3","0","2","0","1","16","20","17","12","12","5","9","3","5","9","4","2","2","0","0","0","0","4","5"
"g14","V","7555","563","378","32","5","0","1","2","0","19","1","125","283","280","14","0","3","3","42","2","5","3","0","0","2","0","6","0","0","0","10","2","4","1","1","0","0","0","1","0","0","0","5","0","0","0","0","1","44","37","28","41","32","0","4","37","54","29","28","43","0","0","2","4","3","3","5","0","0","2","5","2","2","4","0","0","18","20","17","8","3","0","4","17","17","10","7","4","0","0","3","6","4","3","1","0","0","4","1","1","2","3","60","66","26","35","13","29","11","24","114","2","3","2","3","1","1","2","2","16","21","29","12","14","8","12","5","2","22","4","4","2","2","3","5","0","1","7"
"g14","V","7556","565","368","43","6","0","2","2","0","10","0","134","300","265","12","2","1","0","47","3","10","2","3","0","0","0","2","0","0","0","14","3","5","0","0","0","2","0","2","0","0","0","3","2","0","0","0","3","18","36","35","41","51","0","2","33","39","31","38","41","0","0","1","4","4","6","9","0","0","0","6","3","4","6","0","1","18","19","17","11","14","0","0","12","19","9","5","9","0","1","2","3","2","2","2","0","0","0","2","2","4","0","39","46","33","34","16","47","9","21","123","3","3","2","2","6","4","3","2","18","22","23","9","13","10","16","7","11","23","3","3","0","1","0","4","2","1","6"
