"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"p18","V","200100","452","356","19","2","2","4","2","0","8","0","59","215","237","8","0","3","0","52","1","4","0","0","0","0","0","5","0","1","0","10","0","2","0","4","0","2","1","1","0","2","0","2","0","0","0","0","10","9","15","17","31","82","0","8","12","19","25","38","90","0","0","0","1","0","3","4","0","0","0","0","1","3","7","0","0","2","9","6","10","6","0","2","2","2","4","5","11","0","1","0","1","4","2","2","0","0","0","1","4","2","1","52","43","20","17","17","46","12","16","133","4","2","1","2","0","1","0","0","9","17","9","4","3","7","3","1","2","13","10","2","0","1","0","1","0","0","4"
"p18","V","200200","425","333","16","4","3","1","1","0","5","0","62","197","228","7","1","1","0","38","1","5","2","4","1","0","0","3","0","1","0","10","2","5","0","2","0","0","0","1","1","0","0","0","0","0","0","0","8","3","11","24","27","73","0","2","6","11","24","41","103","0","0","0","0","2","3","6","0","0","0","0","1","1","3","0","1","0","2","3","8","17","0","4","0","3","7","4","13","0","0","0","0","0","3","6","0","0","0","0","2","2","1","44","22","27","21","14","28","11","13","153","2","0","1","0","0","2","0","0","11","15","7","4","1","4","6","6","2","17","5","0","3","2","0","0","0","0","4"
"p18","V","200300","326","264","11","1","0","3","0","0","4","0","43","152","174","11","0","3","0","43","0","4","0","0","0","0","0","1","0","2","0","8","1","1","0","3","0","1","0","0","0","0","0","1","0","0","0","0","3","9","13","23","19","49","0","5","10","12","20","29","72","0","0","0","0","0","0","5","0","0","0","0","2","1","3","0","2","2","6","1","7","12","0","1","0","4","1","4","3","0","0","0","1","0","0","0","0","0","1","1","1","0","4","46","31","27","16","9","20","15","13","87","0","2","1","0","0","3","1","0","4","13","4","2","4","3","2","5","5","5","1","2","1","1","1","0","0","0","2"
"p18","V","200600","374","298","14","0","1","1","1","0","7","0","52","181","193","7","0","1","0","40","4","4","0","3","0","0","0","4","0","3","0","11","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7","10","18","18","23","55","0","8","6","18","25","29","81","0","0","0","1","0","0","9","0","0","0","0","0","0","4","0","2","1","4","9","7","10","0","1","2","2","5","6","3","0","0","0","0","0","4","3","0","0","0","0","0","2","1","41","41","23","12","18","27","23","22","91","4","1","1","1","0","0","0","1","6","14","8","4","4","3","6","5","4","4","1","0","0","0","2","0","1","1","5"
"p18","V","200700","396","311","12","1","0","4","0","0","4","0","64","192","204","17","0","1","0","27","2","6","1","0","0","3","0","1","0","1","0","8","1","1","0","4","0","1","0","0","0","0","0","2","0","0","0","0","5","16","9","17","40","61","0","4","8","12","22","37","80","0","0","0","1","0","5","3","0","0","0","0","0","1","2","0","1","4","3","5","4","17","0","1","2","6","4","8","9","0","0","0","0","1","0","0","0","0","0","3","1","2","2","63","39","13","22","19","25","10","8","112","2","1","1","0","1","1","0","0","6","13","10","10","4","1","4","7","2","13","4","1","1","0","0","0","0","2","1"
"p18","V","200800","401","320","15","2","0","2","2","0","7","0","53","187","214","7","0","3","0","48","1","7","1","0","0","1","0","5","0","2","0","6","0","1","1","4","0","1","0","2","0","0","0","2","0","0","0","0","10","9","12","24","39","54","0","9","10","15","28","41","69","0","1","0","0","0","0","7","0","0","0","0","0","2","5","0","1","4","1","3","11","8","0","1","1","4","3","8","8","0","0","2","0","0","1","0","0","1","0","0","2","2","5","60","34","45","18","14","20","15","16","98","1","1","0","1","0","3","0","1","8","10","7","11","2","5","0","0","1","17","4","0","1","0","1","0","0","0","7"
"p18","V","201000","377","294","16","2","0","0","2","1","8","0","54","188","189","13","0","2","1","34","4","6","1","1","1","1","0","7","0","0","0","10","1","1","0","3","0","0","0","0","0","0","0","1","1","0","0","0","9","6","10","22","39","57","0","5","7","13","24","30","72","0","0","0","0","0","0","8","0","0","0","0","0","2","6","0","2","1","4","5","8","10","0","2","2","3","3","3","11","0","0","1","2","0","3","1","0","0","1","2","1","1","1","50","33","24","23","10","20","11","11","112","2","2","1","1","0","2","2","0","6","10","8","6","4","4","2","3","6","11","5","1","0","2","0","0","1","1","3"
"p18","V","201100","417","333","10","3","0","0","0","0","6","0","65","199","218","3","1","2","0","45","2","6","1","0","0","2","0","1","0","2","1","5","1","4","1","6","0","1","0","0","0","0","0","2","0","0","0","0","8","8","12","23","16","81","0","10","7","12","26","34","96","0","1","0","0","1","1","3","0","0","0","0","0","1","3","0","3","3","4","8","8","12","0","0","3","2","8","4","10","0","0","0","3","0","1","3","0","0","0","0","1","1","0","52","45","20","19","12","27","20","15","123","2","0","0","0","0","2","0","0","6","14","13","8","4","4","4","3","1","14","3","0","1","2","1","0","0","2","0"
"p18","V","201300","357","293","7","1","2","3","0","0","6","0","45","175","182","7","1","0","0","36","0","4","1","0","0","0","0","6","0","1","0","8","1","3","0","4","0","0","0","1","0","0","0","0","0","2","0","0","8","23","6","24","29","45","0","7","16","19","23","33","60","0","0","1","0","1","0","3","0","0","0","0","0","1","1","0","5","2","6","6","4","4","0","0","2","4","3","6","3","0","1","1","1","0","2","3","0","0","0","0","0","1","3","66","32","28","18","11","31","4","14","89","1","0","0","0","1","0","0","2","3","8","9","5","2","5","4","1","3","8","6","2","0","1","0","0","0","1","2"
"p18","V","201400","375","310","13","2","0","0","1","0","4","0","45","182","193","16","0","2","0","37","0","3","4","0","0","1","0","2","0","0","0","7","1","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","5","10","13","22","21","68","0","6","11","14","20","33","87","0","1","1","1","1","1","7","0","0","0","0","0","0","1","0","1","4","5","4","3","10","0","2","0","5","3","0","8","0","0","1","1","0","0","2","0","0","0","0","1","0","2","62","41","32","15","9","17","11","15","108","4","2","0","0","1","2","0","0","4","11","6","4","3","2","2","2","3","12","2","0","0","1","1","0","0","1","2"
