condorcet winner: Sara Gideon,Lisa Savage,Max Linn,Sara Gideon,Susan Collins
Lisa Savage,,366.70,163.41,292.11
Max Linn,151.34,,131.55,177.89
Sara Gideon,535.02,566.43,,488.63
Susan Collins,509.56,542.83,469.07,
