condorcet winner: Sara Gideon,Lisa Savage,Max Linn,Sara Gideon,Susan Collins
Lisa Savage,,70.79,23.40,36.44
Max Linn,29.21,,18.85,24.68
Sara Gideon,76.60,81.15,,51.02
Susan Collins,63.56,75.32,48.98,
