,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis"
first_choice,14.61,36.20,49.19
"Davis, Laurie J.",,27.30,30.10
"Grant, Benjamin K.",42.12,,54.80
"Zager, Samuel Lewis",42.93,56.58,
exhaust,14.95,16.12,15.09
