,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
first_choice,51.60,14.13,34.27
"Crafts, Lydia V.",,51.19,56.14
"Levesque, David J.",31.30,,21.77
"Pieh, Wendy",54.89,33.33,
exhaust,13.80,15.48,22.09
