,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
first_choice,31.80,22.53,45.66
"Bennett, Adrienne",,43.55,57.19
"Brakey, Eric L.",38.72,,42.81
"Crafts, Dale John",61.28,56.45,
