condorcet winner: DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
BRIAN V. HULET,,70.58,38.36,53.79,79.13
CARY KENNETH STOCKWELL,29.42,,20.91,33.28,61.06
DOUG WELTON,61.64,79.09,,60.26,83.63
LINDA CARTER,46.21,66.72,39.74,,73.16
SCOTT PINKHAM,20.87,38.94,16.37,26.84,
