condorcet winner: CRISTY WELSH,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
ANTHONY JENKINS,,263.00,409.00,317.00,557.00,580.00,540.00
CRISTY WELSH,747.00,,676.00,587.00,816.00,789.00,852.00
DAVID LAURET,544.00,354.00,,348.00,645.00,707.00,624.00
G. TYCE FLAKE,678.00,458.00,654.00,,763.00,775.00,771.00
HECTOR RAFAEL HERNANDEZ,337.00,193.00,289.00,230.00,,544.00,394.00
KEITH KUDER,341.00,244.00,229.00,230.00,324.00,,351.00
TAY GUDMUNDSON,339.00,144.00,302.00,214.00,451.00,514.00,
