condorcet winner: DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
BRIAN V. HULET,,1792.00,992.00,1376.00,1983.00
CARY KENNETH STOCKWELL,747.00,,531.00,819.00,1394.00
DOUG WELTON,1594.00,2009.00,,1548.00,2125.00
LINDA CARTER,1182.00,1642.00,1021.00,,1796.00
SCOTT PINKHAM,523.00,889.00,416.00,659.00,
