Ballots with first choice:,Number of Ballots,"Davis, Laurie J. ranked in top 3","Grant, Benjamin K. ranked in top 3","Zager, Samuel Lewis ranked in top 3"
"Davis, Laurie J.",368,368,293,304
"Grant, Benjamin K.",912,661,912,743
"Zager, Samuel Lewis",1240,932,1016,1240
