Ballots with first choice:,Number of Ballots,"Crafts, Lydia V. ranked in top 3","Levesque, David J. ranked in top 3","Pieh, Wendy ranked in top 3"
"Crafts, Lydia V.",921,921,714,764
"Levesque, David J.",252,197,252,207
"Pieh, Wendy",611,461,421,611
