Ballots with first choice:,Number of Ballots,"Davis, Laurie J. ranked in top 3","Grant, Benjamin K. ranked in top 3","Zager, Samuel Lewis ranked in top 3"
"Davis, Laurie J.",368.0,100.0,79.62,82.61
"Grant, Benjamin K.",912.0,72.48,100.0,81.47
"Zager, Samuel Lewis",1240.0,75.16,81.94,100.0
