Ballots with first choice:,Number of Ballots,"Arford, Poppy ranked in top 3","Perreault, Corinne Ann ranked in top 3","Wilson, Katherine E. ranked in top 3"
"Arford, Poppy",899,899,674,660
"Perreault, Corinne Ann",614,484,614,467
"Wilson, Katherine E.",657,491,476,657
