condorcet winner: ALONDRA CANO,ABDI ABDULLE,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,PAT FLEETHAM,TY MOORE,writeIns
ABDI ABDULLE,,547.00,1186.00,1195.00,1181.00,693.00,1260.00
ALONDRA CANO,2907.00,,2841.00,2966.00,2928.00,1987.00,3059.00
CHARLES CURTIS,1027.00,601.00,,1074.00,1020.00,651.00,1103.00
GREGORY MCDONALD,527.00,311.00,519.00,,436.00,429.00,591.00
PAT FLEETHAM,920.00,468.00,877.00,891.00,,631.00,1030.00
TY MOORE,2491.00,1758.00,2423.00,2601.00,2537.00,,2630.00
writeIns,83.00,52.00,82.00,91.00,90.00,47.00,
