condorcet winner: BETSY HODGES,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
"ABDUL M RAHAMAN ""THE ROCK""",,33.46,1.44,69.19,74.33,8.10,5.63,28.18,44.20,47.41,77.65,13.04,2.37,23.80,81.92,53.94,4.63,75.41,35.26,47.70,53.36,81.44,64.09,62.69,52.05,1.84,24.08,65.07,45.79,48.78,30.64,73.52,13.70,51.72,57.01,58.92
ALICIA K. BENNETT,66.54,,2.39,80.69,85.09,14.38,10.52,44.60,61.04,63.88,87.11,22.76,4.58,37.99,89.79,70.07,8.03,85.43,51.93,64.34,68.99,89.44,77.60,76.94,68.03,3.07,38.68,78.41,63.69,65.18,46.77,84.27,23.01,67.73,72.53,73.85
BETSY HODGES,98.56,97.61,,99.25,99.52,88.91,81.13,97.27,97.88,98.16,99.56,91.03,73.02,96.56,99.71,98.89,83.60,99.46,98.01,98.72,98.76,99.67,99.02,99.16,98.67,60.88,95.95,99.15,98.39,98.51,96.22,99.42,94.27,98.84,99.16,99.22
BILL KAHN,30.81,19.31,0.75,,57.77,3.92,2.55,15.78,27.40,30.01,62.61,6.33,1.21,12.83,68.22,35.98,2.29,58.67,20.53,30.26,35.15,67.28,45.61,44.55,33.75,0.89,13.13,46.48,28.25,31.06,16.80,56.66,6.97,33.44,38.79,40.63
"BOB ""AGAIN"" CARNEY JR",25.67,14.91,0.48,42.23,,2.86,1.85,11.74,21.62,24.10,54.28,4.71,0.83,9.54,60.98,28.95,1.69,50.96,15.82,24.08,28.41,60.26,38.02,37.04,26.88,0.64,9.98,38.96,22.83,24.73,13.40,48.94,5.22,26.77,31.91,33.51
BOB FINE,91.90,85.62,11.09,96.08,97.14,,38.46,82.76,90.08,91.39,97.56,63.49,20.62,78.42,98.10,93.78,35.59,97.19,86.36,91.20,93.06,98.01,95.34,95.08,92.56,15.51,78.80,95.51,91.04,91.61,83.83,96.88,65.02,92.42,93.91,94.36
CAM WINTON,94.37,89.48,18.87,97.45,98.15,61.54,,88.79,95.93,96.00,98.42,76.25,29.30,84.07,98.70,95.15,45.71,98.08,90.21,93.82,95.04,98.70,97.79,96.60,95.34,24.23,86.01,97.12,93.43,95.57,92.41,98.35,73.69,94.61,95.80,96.67
CAPTAIN JACK SPARROW,71.82,55.40,2.73,84.22,88.26,17.24,11.21,,66.39,69.14,89.73,25.70,5.35,43.34,91.81,74.34,10.61,88.51,57.43,69.37,73.66,91.76,81.41,80.90,74.06,4.01,43.69,81.82,67.56,70.20,52.23,87.01,27.66,72.50,76.96,78.24
CHRISTOPHER CLARK,55.80,38.96,2.12,72.60,78.38,9.92,4.07,33.61,,53.41,81.23,14.79,3.21,28.16,84.98,59.53,5.94,78.96,40.72,53.47,58.72,84.69,69.09,67.94,58.40,2.61,28.25,69.59,51.32,54.74,33.51,77.73,16.44,56.99,62.80,64.44
CHRISTOPHER ROBIN ZIMMERMAN,52.59,36.12,1.84,69.99,75.90,8.61,4.00,30.86,46.59,,79.43,13.32,2.82,25.69,83.40,56.53,5.24,76.84,37.68,50.15,55.68,83.07,66.42,65.21,54.56,2.31,25.66,67.07,48.22,51.44,31.09,75.43,14.97,53.96,59.59,61.50
CYD GORMAN,22.35,12.89,0.44,37.39,45.72,2.44,1.58,10.27,18.77,20.57,,3.87,0.70,8.07,56.48,25.38,1.34,46.42,13.56,20.55,24.77,55.83,33.71,32.87,23.70,0.57,8.40,34.00,19.65,21.36,11.02,44.13,4.39,23.36,27.79,29.50
DAN COHEN,86.96,77.24,8.97,93.67,95.29,36.51,23.75,74.30,85.21,86.68,96.13,,13.77,67.92,96.84,88.94,24.48,95.34,78.71,85.95,88.32,96.65,92.79,92.07,87.87,11.14,68.94,92.87,85.08,87.04,76.16,95.13,51.40,87.73,90.06,90.76
