condorcet winner: SCOTT WIENER,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER,writeIns
BILL HEMENGER,,20.42,15.60,11.81,97.98
RAFAEL MANDELMAN,79.58,,53.18,44.61,99.63
REBECCA PROZAN,84.40,46.82,,38.93,99.48
SCOTT WIENER,88.19,55.39,61.07,,99.52
writeIns,2.02,0.37,0.52,0.48,
