condorcet winner: RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
LAWRENCE ''STARK'' DAGESSE,,8.57
RAFAEL MANDELMAN,91.43,
