condorcet winner: JAMES HARRIS,ALICE A. SPEARMAN,JAMES HARRIS,writeIns
ALICE A. SPEARMAN,,5977.00,9896.00
JAMES HARRIS,8008.00,,11076.00
writeIns,307.00,262.00,
