condorcet winner: ED LEE,BEVAN DUFTY,CESAR ASCARRUNZ,DAVID CHIU,DENNIS HERRERA,ED LEE,EMIL LAWRENCE,JEFF ADACHI,JOANNA REES,JOHN AVALOS,LELAND YEE,MICHELA ALIOTO-PIER,PAUL CURRIER,PHIL TING,TERRY JOAN BAUM,TONY HALL,WILMA PANG,writeIns
BEVAN DUFTY,,32025.00,27431.00,24254.00,23928.00,32055.00,29981.00,31427.00,26389.00,30165.00,30416.00,32066.00,31829.00,31819.00,31478.00,32044.00,32108.00
CESAR ASCARRUNZ,3627.00,,3627.00,2889.00,3020.00,3746.00,3460.00,3676.00,2778.00,3507.00,3443.00,3815.00,3786.00,3731.00,3502.00,3798.00,3855.00
DAVID CHIU,59087.00,62083.00,,54086.00,36836.00,62106.00,57140.00,61346.00,54750.00,54952.00,60554.00,62121.00,60922.00,61960.00,61308.00,61770.00,62161.00
DENNIS HERRERA,64547.00,70011.00,61881.00,,59487.00,70172.00,65118.00,69107.00,47094.00,64628.00,67629.00,70162.00,69772.00,69556.00,68928.00,70145.00,70244.00
ED LEE,85652.00,89297.00,79991.00,82458.00,,89378.00,85298.00,88287.00,84457.00,83878.00,86806.00,89421.00,88789.00,89307.00,87080.00,89288.00,89463.00
EMIL LAWRENCE,1921.00,1910.00,1911.00,1777.00,1557.00,,1754.00,1820.00,1809.00,1894.00,1731.00,1956.00,1963.00,1916.00,1703.00,1929.00,2005.00
JEFF ADACHI,40627.00,42434.00,35958.00,36306.00,32817.00,42495.00,,41781.00,33123.00,39420.00,40924.00,42506.00,41958.00,39438.00,40717.00,42359.00,42588.00
JOANNA REES,12434.00,13296.00,11753.00,11146.00,10269.00,13281.00,11813.00,,11967.00,12392.00,11883.00,13352.00,13218.00,13233.00,12015.00,13252.00,13412.00
JOHN AVALOS,59193.00,62307.00,57374.00,53355.00,57160.00,62489.00,59386.00,62001.00,,58246.00,61336.00,62461.00,62217.00,61289.00,62087.00,62441.00,62525.00
LELAND YEE,48107.00,50192.00,43454.00,38073.00,37047.00,50253.00,47160.00,49593.00,36588.00,,48421.00,50256.00,49799.00,49918.00,49478.00,50142.00,50296.00
MICHELA ALIOTO-PIER,24238.00,26147.00,23721.00,22118.00,18247.00,26266.00,23935.00,25205.00,23767.00,23540.00,,26331.00,26074.00,26221.00,24412.00,26249.00,26386.00
PAUL CURRIER,1542.00,1612.00,1525.00,1404.00,1305.00,1608.00,1470.00,1529.00,1327.00,1509.00,1519.00,,1630.00,1559.00,1520.00,1568.00,1661.00
PHIL TING,12545.00,13065.00,8062.00,11898.00,5315.00,13065.00,11751.00,12860.00,12274.00,11482.00,12659.00,13069.00,,13028.00,12670.00,12754.00,13104.00
TERRY JOAN BAUM,8734.00,9065.00,8818.00,8040.00,8593.00,9101.00,8303.00,8912.00,3649.00,8721.00,8822.00,9096.00,9083.00,,8991.00,8988.00,9162.00
TONY HALL,15009.00,15395.00,14533.00,13978.00,12171.00,15414.00,13535.00,14830.00,14826.00,14530.00,14154.00,15437.00,15358.00,15434.00,,15438.00,15506.00
WILMA PANG,4858.00,4936.00,3807.00,4756.00,2072.00,4931.00,4486.00,4773.00,4627.00,4447.00,4721.00,4935.00,4604.00,4817.00,4871.00,,4994.00
writeIns,62.00,64.00,61.00,59.00,57.00,63.00,58.00,64.00,58.00,56.00,63.00,64.00,64.00,63.00,62.00,64.00,
