condorcet winner: AARON PESKIN,AARON PESKIN,JULIE CHRISTENSEN,WILMA PANG
AARON PESKIN,,54.34,77.86
JULIE CHRISTENSEN,45.66,,75.35
WILMA PANG,22.14,24.65,
