condorcet winner: SANDRA LEE FEWER,ANDY THORNLEY,BRIAN J. LARKIN,DAVID LEE,JASON JUNGREIS,JONATHAN LYENS,MARJAN PHILHOUR,RICHIE GREENBERG,SAMUEL KWONG,SANDRA LEE FEWER,SHERMAN R. D'SILVA
ANDY THORNLEY,,34.33,10.25,43.11,27.52,5.92,30.54,31.77,4.58,40.09
BRIAN J. LARKIN,65.67,,16.33,59.01,42.98,9.40,43.49,45.87,10.23,55.62
DAVID LEE,89.75,83.67,,87.37,79.14,29.57,80.10,85.14,28.39,86.44
JASON JUNGREIS,56.89,40.99,12.63,,34.53,7.72,35.99,37.45,7.24,47.14
JONATHAN LYENS,72.48,57.02,20.86,65.47,,12.56,52.46,53.24,9.22,63.16
MARJAN PHILHOUR,94.08,90.60,70.43,92.28,87.44,,89.15,89.02,47.23,91.86
RICHIE GREENBERG,69.46,56.51,19.90,64.01,47.54,10.85,,50.83,11.72,60.93
SAMUEL KWONG,68.23,54.13,14.86,62.55,46.76,10.98,49.17,,11.14,59.87
SANDRA LEE FEWER,95.42,89.77,71.61,92.76,90.78,52.77,88.28,88.86,,92.40
SHERMAN R. D'SILVA,59.91,44.38,13.56,52.86,36.84,8.14,39.07,40.13,7.60,
