condorcet winner: KATE HARRISON,BEN GOULD,GREGORY MAGOFNA,KATE HARRISON
BEN GOULD,,72.00,43.12
GREGORY MAGOFNA,28.00,,27.85
KATE HARRISON,56.88,72.15,
