condorcet winner: Pat McCarthy,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney,writeIns
Calvin Goings,,59.06,46.77,51.10,98.68
Mike Lonergan,40.94,,40.24,43.34,98.63
Pat McCarthy,53.23,59.76,,50.75,98.66
Shawn Bunney,48.90,56.66,49.25,,99.12
writeIns,1.32,1.37,1.34,0.88,
