condorcet winner: KRISS WORTHINGTON,CECILIA ''CES'' ROSALES,GEORGE BEIER,KRISS WORTHINGTON,writeIns
CECILIA ''CES'' ROSALES,,1451.00,1249.00,3085.00
GEORGE BEIER,2143.00,,1683.00,3186.00
KRISS WORTHINGTON,2696.00,2411.00,,3576.00
writeIns,76.00,96.00,67.00,
