condorcet winner: REBECCA KAPLAN,BRUCE QUAN,FRANCIS ''MATT'' HUMMEL,NANCY SIDEBOTHAM,PEGGY MOORE,REBECCA KAPLAN
BRUCE QUAN,,82713.00,85491.00,60879.00,42419.00
FRANCIS ''MATT'' HUMMEL,25217.00,,32401.00,27042.00,22056.00
NANCY SIDEBOTHAM,22102.00,27484.00,,20557.00,17403.00
PEGGY MOORE,63170.00,86984.00,88314.00,,46007.00
REBECCA KAPLAN,104933.00,117399.00,120920.00,101380.00,
