condorcet winner: Don Samuels,Don Samuels,Kenya McKnight,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,writeIns
Don Samuels,,1176.00,1348.00,1131.00,1350.00,1383.00
Kenya McKnight,679.00,,956.00,581.00,1014.00,1051.00
Lennie Chism,358.00,257.00,,211.00,472.00,507.00
Natalie Johnson Lee,893.00,961.00,1202.00,,1225.00,1267.00
Roger Smithrud,165.00,196.00,220.00,185.00,,247.00
writeIns,19.00,27.00,31.00,26.00,23.00,
