condorcet winner: ANNIE CAMPBELL WASHINGTON,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,PAUL LIM
ANNIE CAMPBELL WASHINGTON,,11632.00,14300.00
JILL BROADHURST,5748.00,,11207.00
PAUL LIM,2008.00,2487.00,
